Energy Type,Mínimo (gCO₂eq/kWh),Promedio (gCO₂eq/kWh),Máximo (gCO₂eq/kWh)
Coal-Peat and Manufactured Gases,740000.0,820000.0,910000.0
Natural Gas,410000.0,490000.0,650000.0
Biomasa (dedicada),130000.0,230000.0,420000.0
Geothermal,6000.0,38000.0,79000.0
Hydro,1000.0,24000.0,2200000.0
Nuclear,3700.0,12000.0,110000.0
Solar,18000.0,48000.0,180000.0
Wind,7000.0,11500.0,56000.0
Oil and Petroleum Products,650000.0,720000.0,850000.0
Combustible Renewables,130000.0,230000.0,420000.0
Other Combustible Non-Renewables,740000.0,820000.0,910000.0
Other Renewables,1000.0,24000.0,2200000.0
